country,year,maternal_education_standardized,u5mr_standardized,prop_urban_standardized,vitA_standardized,incidence_standardized,mcv1_standardized
PHL,1982,0.185904718,0.03114619,-0.337652434,0.359041061,0.7235893,-2.358068791
PNG,1982,-1.389196078,0.37641582,-1.498886954,-0.68707591,0.336422372,-2.358068791
POL,1982,0.83713114,-0.800226735,0.53559234,0.309026009,0.252075866,-2.358068791
PRK,1982,-0.480065371,-0.645517699,0.462418658,-0.792765461,0.154310547,-2.358068791
PRY,1982,-0.194287683,-0.221748671,-0.183418623,0.068170192,0.422349746,-2.358068791
QAT,1982,-0.810209558,-0.644249665,1.917154475,-0.813347764,0.851455593,-2.358068791
ROU,1982,0.620293932,-0.647278346,0.027633455,0.706326644,0.395050586,-2.358068791
RWA,1982,-1.342013155,1.681777316,-1.883127201,0.525647772,0.880737162,-2.358068791
SAU,1982,-1.318489336,0.081119426,0.976606045,0.322834998,0.506035293,-2.358068791
SDN,1982,-1.358775574,1.045754313,-1.187551533,0.351530712,0.785669117,-2.358068791
SEN,1982,-1.548225945,1.763551702,-0.466120864,2.369808272,0.681828107,-2.358068791
SLB,1982,-1.201001611,-0.415584253,-1.594778981,0.077680763,0.48716229,-2.358068791
SLE,1982,-1.558115202,3.102228689,-0.725835905,1.737792054,0.776097802,-2.358068791
SLV,1982,-0.684227274,0.296155774,-0.078475106,0.528495351,0.637986367,-2.358068791
SOM,1982,-1.581443291,1.866526855,-0.878187723,1.36278473,1.215514824,-2.358068791
STP,1982,-1.198305464,0.271926326,-0.540056305,2.743450194,1.046323858,-2.358068791
SUR,1982,-0.35748234,-0.249073526,0.816950301,-0.322219608,0.585850039,-2.358068791
SWZ,1982,-0.627845838,0.412759991,-1.330941479,0.908376571,0.649520732,-2.358068791
SYC,1982,-0.038065044,-0.762368223,0.110172293,0.051030949,0.36284714,-2.358068791
SYR,1982,-1.04402003,-0.080915006,0.01746173,-0.034808263,0.545700913,-2.358068791
TCD,1982,-1.704641152,2.422289812,-1.241188335,1.758848369,0.544290295,-2.358068791
TGO,1982,-1.454880314,1.445540201,-0.962832601,2.163621661,0.550431057,-2.358068791
THA,1982,-0.383199029,-0.305037397,-0.876933061,0.553615005,0.480490407,-2.358068791
TON,1982,-0.076405935,-0.727538392,-1.132973734,0.644725873,0.644103469,-2.358068791
TTO,1982,0.54924338,-0.585190387,0.258760125,-0.748169659,0.482073502,-2.358068791
TUN,1982,-1.126461225,0.134121343,0.218745368,-1.089976904,0.372490016,-2.358068791
TUR,1982,-0.733187382,0.609624254,0.005318394,0.26027037,0.35319299,-2.358068791
TUV,1982,-0.549283232,-0.2490068,-0.687120619,0.487790141,1.083150429,-2.358068791
TZA,1982,-1.160227435,1.543972332,-1.410119615,1.618771581,0.67782488,-2.358068791
UGA,1982,-1.164375943,2.092163587,-1.735525175,0.823331988,1.211245586,-2.358068791
VCT,1982,-0.256768647,-0.489786936,-0.4447468,-0.170224669,0.568860326,-2.358068791
VEN,1982,-0.128089057,-0.530674129,1.501278821,-0.325075571,0.247139666,-2.358068791
VNM,1982,-0.329556116,-0.141488625,-1.232540128,-0.053805791,0.507761006,-2.358068791
VUT,1982,-0.823630759,-0.2490068,-1.405683489,0.613815719,0.497282319,-2.358068791
