country,year,maternal_education_standardized,mcv1_standardized,u5mr_standardized,prop_urban_standardized,vitA_standardized,incidence_standardized
UGA,2026,0.325900097486934,0.663406620029277,-0.457985786134205,-1.00898623985433,0.0177083629975981,-0.236448434727589
UKR,2026,2.04809301243789,0.941243439453736,-1.01677742422856,1.01245353128273,-1.41454557204586,-0.0854082491758731
UZB,2026,1.70308444107365,0.941243439453736,-0.919859633339568,0.15928334945861,-0.989192670040276,-1.53280581169492
VCT,2026,0.853232237704482,1.08016184916597,-0.92288831430485,0.257012559887097,-1.0498055351919,-9.26227244711157
VEN,2026,0.84759864019728,0.871784234597622,-0.777511627971358,1.85339075829392,-0.809030595175145,-2.06813375468793
VNM,2026,0.970341215981995,0.941243439453736,-0.824456182933215,-0.459309841722164,-0.803412077429502,-1.25710703012249
VUT,2026,0.326989536587087,0.420299403032876,-0.756310861214391,-0.962698172741708,0.00509572303987332,-1.46317805412796
WSM,2026,1.18514375686495,0.975973041881793,-0.880486780790915,-1.29150924386699,-0.369416975813589,-0.15727426722732
YEM,2026,-0.483764915858248,-0.0311854285318692,-0.212662627946438,-0.430407805625706,0.16410193103121,-0.95594513932912
ZAF,2026,1.22716363877688,0.524488210317048,-0.644249665498991,0.8951874406402,-0.212020359105837,-2.65563400916218
ZMB,2026,0.670775146356787,0.871784234597622,-0.173289775397784,-0.125748978618239,0.344517978362272,-2.23434394750288
ZWE,2026,0.8837629340132,0.593947415173163,-0.323209483179197,-0.657277586643327,0.021602835436305,-2.17966764132732
AFG,2027,-0.937512175303654,-0.135374235816041,-0.233863394703406,-0.946566803757639,-0.0684216066751049,-0.832567624707811
AGO,2027,-0.0182606957513668,-0.586859067380787,-0.0203413866510902,0.864761886361913,-0.139575274440393,-1.56833446564749
ALB,2027,1.10623651205813,0.941243439453736,-0.997090997954236,0.643045181547536,-0.0067231835079167,-0.943412016397779
ARE,2027,1.9597606369274,1.08016184916597,-1.04100687195081,1.78837237941647,-1.08691070579163,-2.07026360105637
ARM,2027,1.61867904184587,0.941243439453736,-0.969832869266706,0.732215804542809,-1.50551360037334,-0.761572213771826
ATG,2027,1.39575989188987,0.871784234597622,-1.04403555291609,-1.00248888290241,-1.19367358263556,-9.26227244711157
AZE,2027,1.41140512527993,0.941243439453736,-0.835056566311699,0.410126137160889,-0.919218952799346,-2.53765632703443
BDI,2027,-0.658346572875932,0.837054632169564,-0.286865311595825,-1.50166513424278,0.125397905145264,0.165896820260289
BEN,2027,-0.715546649816434,0.00354417389618816,0.194694961883866,0.0440336799390915,0.866400248789888,-0.524035158466614
BFA,2027,-1.26668299832019,0.698136222457335,0.185608918988023,-0.757202455627979,0.788586472853785,-1.02200337714824
BGD,2027,0.012062026729187,1.01070264430985,-0.679079496599723,-0.424492970331547,-0.680801691317418,-0.880819911372008
BGR,2027,1.62464726077872,0.941243439453736,-1.04403555291609,1.27566370187279,-0.137888645346821,-0.693479749522137
BHR,2027,1.03597000507801,1.08016184916597,-1.03797819098553,1.90510075775952,-1.14185339340686,-3.29679515601558
BHS,2027,1.69477825887445,0.524488210317048,-0.804769756658888,1.62450455615329,-1.22873135720063,-2.54562495249936
BIH,2027,1.36394318038793,0.941243439453736,-1.05463593629458,0.0783128390302393,-0.153627050658103,-0.490046871414505
BLR,2027,1.89377511877515,0.941243439453736,-1.09703746980851,1.44132389946753,-1.45332318216451,-2.01526830946139
BLZ,2027,0.699213323615011,0.975973041881793,-0.957718145405582,-0.0453609898476264,-1.16424726073424,-9.26227244711157
BOL,2027,0.778744887816059,0.385569800604819,-0.745710477835907,1.02589633876945,-1.05470526797556,-9.26227244711157
BRA,2027,0.781729767398717,0.802325029741507,-0.918345292856928,1.78994070695658,-0.153027247743395,-1.21164711943083
BRB,2027,1.74437021634646,0.837054632169564,-0.95317512395766,-0.704417031563441,-1.17133649023156,-9.26227244711157
