country,year,u5mr
DOM,2024,36.45
DZA,2024,24.69
ECU,2024,14.2
EGY,2024,21.3
ERI,2024,43.02
ETH,2024,53.83
FJI,2024,28.5
FSM,2024,26.91
GAB,2024,45.56
GEO,2024,10.07
GHA,2024,49.17
GIN,2024,103.84
GMB,2024,54.25
GNB,2024,84.34
GNQ,2024,86.04
GRD,2024,17.48
GTM,2024,25.96
GUY,2024,31.05
HND,2024,17.8
HTI,2024,65.91
IDN,2024,25.22
IND,2024,36.45
IRN,2024,14.2
IRQ,2024,27.66
JAM,2024,14.52
JOR,2024,16.42
KAZ,2024,10.7
KEN,2024,45.56
KGZ,2024,19.39
KHM,2024,28.19
KIR,2024,54.25
LAO,2024,48.42
LBN,2024,7.63
LBR,2024,85.19
LBY,2024,12.19
LCA,2024,25.43
LKA,2024,7.63
LSO,2024,96.32
MAR,2024,20.66
MDA,2024,15.68
MDG,2024,54.99
MDV,2024,7.42
MEX,2024,14.94
MHL,2024,33.48
MKD,2024,7.21
MLI,2024,99.81
MMR,2024,47.89
MNE,2024,2.75
MNG,2024,16.95
MOZ,2024,77.24
MRT,2024,77.35
MWI,2024,43.02
MYS,2024,9.11
NAM,2024,44.4
NER,2024,85.09
NGA,2024,123.87
NIC,2024,17.59
NPL,2024,31.05
PAK,2024,71.31
PER,2024,14.09
PHL,2024,28.72
PNG,2024,48
PRK,2024,18.33
PRY,2024,20.66
PSE,2024,18.01
RUS,2024,6.15
RWA,2024,44.4
SDN,2024,61.88
SEN,2024,42.07
SLB,2024,21.19
SLE,2024,118.57
SLV,2024,14.09
SOM,2024,125.35
SRB,2024,6.04
SSD,2024,103.73
STP,2024,18.01
SUR,2024,19.18
SWZ,2024,50.86
SYR,2024,23.52
TCD,2024,120.26
TGO,2024,70.46
THA,2024,9.54
TJK,2024,35.28
TKM,2024,44.93
TLS,2024,46.3
TON,2024,12.4
TUN,2024,17.91
TUR,2024,10.7
TUV,2024,24.05
TZA,2024,53.51
UGA,2024,48
UKR,2024,8.9
UZB,2024,15.68
VCT,2024,15.47
VEN,2024,25.64
VNM,2024,22.36
VUT,2024,27.13
WSM,2024,18.44
YEM,2024,65.17
ZAF,2024,34.97
ZMB,2024,67.92
ZWE,2024,57.43
AFG,2025,61.89
AGO,2025,76.41
ALB,2025,9.99
ARG,2025,9.37
ARM,2025,11.84
AZE,2025,21.01
BDI,2025,58.29
BEN,2025,91.03
BFA,2025,90.42
BGD,2025,31.61
BGR,2025,6.8
