country,year,vitA
VUT,2023,0.15
WSM,2023,0.11
YEM,2023,0.16
ZAF,2023,0.13
ZMB,2023,0.18
ZWE,2023,0.15
AFG,2024,0.14
AGO,2024,0.13
ALB,2024,0.15
ARG,2024,0.05
ARM,2024,0
AZE,2024,0.06
BDI,2024,0.16
BEN,2024,0.23
BFA,2024,0.22
BGD,2024,0.08
BGR,2024,0.13
BIH,2024,0.13
BLR,2024,0.01
BLZ,2024,0.04
BOL,2024,0.05
BRA,2024,0.13
BTN,2024,0.1
BWA,2024,0.13
CAF,2024,0.21
CHN,2024,0.05
CIV,2024,0.19
CMR,2024,0.21
COD,2024,0.21
COG,2024,0.22
COL,2024,0.04
COM,2024,0.19
CPV,2024,0.01
CRI,2024,0.04
CUB,2024,0.02
DJI,2024,0.05
DMA,2024,0.04
DOM,2024,0.06
DZA,2024,0.04
ECU,2024,0.08
EGY,2024,0.03
ERI,2024,0.18
ETH,2024,0.26
FJI,2024,0.08
FSM,2024,0.17
GAB,2024,0.11
GEO,2024,0.06
GHA,2024,0.21
GIN,2024,0.19
GMB,2024,0.21
GNB,2024,0.26
GNQ,2024,0.12
GRD,2024,0.05
GTM,2024,0.06
GUY,2024,0.06
HND,2024,0.05
HTI,2024,0.13
IDN,2024,0.15
IND,2024,0.19
IRN,2024,0.02
IRQ,2024,0.08
JAM,2024,0.03
JOR,2024,0.08
KAZ,2024,0.12
KEN,2024,0.23
KGZ,2024,0.07
KHM,2024,0.09
KIR,2024,0.19
LAO,2024,0.14
LBN,2024,0.04
LBR,2024,0.17
LBY,2024,0.04
LCA,2024,0.04
LKA,2024,0.09
LSO,2024,0.2
MAR,2024,0.11
MDA,2024,0.01
MDG,2024,0.18
MDV,2024,0.04
MEX,2024,0.12
MHL,2024,0.17
MKD,2024,0.12
MLI,2024,0.21
MMR,2024,0.09
MNE,2024,0.12
MNG,2024,0.11
MOZ,2024,0.2
MRT,2024,0.17
MWI,2024,0.19
MYS,2024,0.02
NAM,2024,0.07
NER,2024,0.22
NGA,2024,0.18
NIC,2024,0.03
NPL,2024,0.11
PAK,2024,0.13
PER,2024,0.07
PHL,2024,0.16
PNG,2024,0.06
PRK,2024,0.09
PRY,2024,0.14
PSE,2024,0.08
RUS,2024,0.01
RWA,2024,0.13
SDN,2024,0.09
SEN,2024,0.21
SLB,2024,0.11
SLE,2024,0.18
SLV,2024,0.09
SOM,2024,0.23
SRB,2024,0.14
SSD,2024,0.21
STP,2024,0.22
SUR,2024,0.05
SWZ,2024,0.13
SYR,2024,0.07
TCD,2024,0.23
TGO,2024,0.21
THA,2024,0.07
TJK,2024,0.12
TKM,2024,0.06
TLS,2024,0.11
TON,2024,0.1
TUN,2024,0.01
TUR,2024,0.07
TUV,2024,0.1
TZA,2024,0.14
UGA,2024,0.15
UKR,2024,0.01
UZB,2024,0.05
VCT,2024,0.05
VEN,2024,0.07
VNM,2024,0.07
VUT,2024,0.15
WSM,2024,0.11
YEM,2024,0.16
ZAF,2024,0.13
ZMB,2024,0.18
ZWE,2024,0.15
AFG,2025,0.14
AGO,2025,0.13
ALB,2025,0.15
ARG,2025,0.05
ARM,2025,0
AZE,2025,0.06
BDI,2025,0.16
BEN,2025,0.23
BFA,2025,0.22
BGD,2025,0.08
BGR,2025,0.13
BIH,2025,0.13
BLR,2025,0.01
BLZ,2025,0.04
BOL,2025,0.05
BRA,2025,0.13
BTN,2025,0.1
BWA,2025,0.13
CAF,2025,0.21
CHN,2025,0.05
CIV,2025,0.19
CMR,2025,0.21
COD,2025,0.21
COG,2025,0.22
COL,2025,0.04
COM,2025,0.19
CPV,2025,0.01
CRI,2025,0.04
CUB,2025,0.02
DJI,2025,0.05
DMA,2025,0.04
DOM,2025,0.06
DZA,2025,0.04
ECU,2025,0.08
EGY,2025,0.03
ERI,2025,0.18
ETH,2025,0.26
FJI,2025,0.08
FSM,2025,0.17
GAB,2025,0.11
GEO,2025,0.06
GHA,2025,0.21
GIN,2025,0.19
GMB,2025,0.21
GNB,2025,0.26
GNQ,2025,0.12
GRD,2025,0.05
GTM,2025,0.06
GUY,2025,0.06
HND,2025,0.05
HTI,2025,0.13
IDN,2025,0.15
IND,2025,0.19
IRN,2025,0.02
IRQ,2025,0.08
JAM,2025,0.03
JOR,2025,0.08
KAZ,2025,0.12
KEN,2025,0.23
KGZ,2025,0.07
KHM,2025,0.09
KIR,2025,0.19
LAO,2025,0.14
LBN,2025,0.04
LBR,2025,0.17
LBY,2025,0.04
LCA,2025,0.04
LKA,2025,0.09
LSO,2025,0.2
MAR,2025,0.11
MDA,2025,0.01
MDG,2025,0.18
MDV,2025,0.04
MEX,2025,0.12
MHL,2025,0.17
MKD,2025,0.12
MLI,2025,0.21
MMR,2025,0.09
MNE,2025,0.12
MNG,2025,0.11
MOZ,2025,0.2
MRT,2025,0.17
MWI,2025,0.19
MYS,2025,0.02
NAM,2025,0.07
NER,2025,0.22
NGA,2025,0.18
NIC,2025,0.03
NPL,2025,0.11
PAK,2025,0.13
PER,2025,0.07
PHL,2025,0.16
PNG,2025,0.06
PRK,2025,0.09
PRY,2025,0.14
PSE,2025,0.08
RUS,2025,0.01
RWA,2025,0.13
SDN,2025,0.09
SEN,2025,0.21
SLB,2025,0.11
SLE,2025,0.18
SLV,2025,0.09
SOM,2025,0.23
SRB,2025,0.14
SSD,2025,0.21
STP,2025,0.22
SUR,2025,0.05
SWZ,2025,0.13
SYR,2025,0.07
TCD,2025,0.23
TGO,2025,0.21
THA,2025,0.07
TJK,2025,0.12
TKM,2025,0.06
TLS,2025,0.11
TON,2025,0.1
TUN,2025,0.01
TUR,2025,0.07
TUV,2025,0.1
TZA,2025,0.14
UGA,2025,0.15
UKR,2025,0.01
UZB,2025,0.05
VCT,2025,0.05
