country,year,mcv1
TUR,2025,0.97
TUV,2025,0.96
TZA,2025,0.89
UGA,2025,0.88
UKR,2025,0.94
UZB,2025,0.98
VCT,2025,0.99
VEN,2025,0.94
VNM,2025,0.96
VUT,2025,0.81
WSM,2025,0.96
YEM,2025,0.68
ZAF,2025,0.84
ZMB,2025,0.94
ZWE,2025,0.86
AFG,2026,0.65
AGO,2026,0.52
ALB,2026,0.96
ARG,2026,0.88
ARM,2026,0.96
AZE,2026,0.98
BDI,2026,0.94
BEN,2026,0.69
BFA,2026,0.9
BGD,2026,0.97
BGR,2026,0.96
BIH,2026,0.69
BLR,2026,0.98
BLZ,2026,0.96
BOL,2026,0.81
BRA,2026,0.93
BTN,2026,0.97
BWA,2026,0.97
CAF,2026,0.42
CHN,2026,0.99
CIV,2026,0.74
CMR,2026,0.61
COD,2026,0.66
COG,2026,0.74
COL,2026,0.96
COM,2026,0.92
CPV,2026,0.98
CRI,2026,0.96
CUB,2026,0.99
DJI,2026,0.85
DMA,2026,0.94
DOM,2026,0.96
DZA,2026,0.82
ECU,2026,0.85
EGY,2026,0.96
ERI,2026,0.95
ETH,2026,0.59
FJI,2026,0.96
FSM,2026,0.8
GAB,2026,0.63
GEO,2026,0.99
GHA,2026,0.94
GIN,2026,0.48
GMB,2026,0.87
GNB,2026,0.81
GNQ,2026,0.54
GRD,2026,0.96
GTM,2026,0.92
GUY,2026,0.98
HND,2026,0.91
HTI,2026,0.66
IDN,2026,0.9
IND,2026,0.96
IRN,2026,0.99
IRQ,2026,0.84
JAM,2026,0.96
JOR,2026,0.89
KAZ,2026,0.99
KEN,2026,0.91
KGZ,2026,0.96
KHM,2026,0.86
KIR,2026,0.96
LAO,2026,0.85
LBN,2026,0.84
LBR,2026,0.69
LBY,2026,0.74
LCA,2026,0.96
LKA,2026,0.99
LSO,2026,0.92
MAR,2026,0.99
MDA,2026,0.97
MDG,2026,0.56
MDV,2026,0.99
MEX,2026,0.74
MHL,2026,0.87
MKD,2026,0.77
MLI,2026,0.71
MMR,2026,0.86
MNE,2026,0.34
MNG,2026,0.98
MOZ,2026,0.89
MRT,2026,0.77
MWI,2026,0.94
MYS,2026,0.97
NAM,2026,0.82
NER,2026,0.81
NGA,2026,0.58
NIC,2026,0.99
NPL,2026,0.94
PAK,2026,0.83
PER,2026,0.87
PHL,2026,0.77
PNG,2026,0.38
PRK,2026,0.98
PRY,2026,0.89
PSE,2026,0.99
RUS,2026,0.98
RWA,2026,0.96
SDN,2026,0.92
SEN,2026,0.91
SLB,2026,0.83
SLE,2026,0.95
SLV,2026,0.84
SOM,2026,0.47
SRB,2026,0.89
SSD,2026,0.5
STP,2026,0.96
SUR,2026,0.65
SWZ,2026,0.83
SYR,2026,0.66
TCD,2026,0.42
TGO,2026,0.77
THA,2026,0.96
TJK,2026,0.98
TKM,2026,0.99
TLS,2026,0.87
TON,2026,0.99
TUN,2026,0.98
TUR,2026,0.97
TUV,2026,0.96
TZA,2026,0.9
UGA,2026,0.89
UKR,2026,0.95
UZB,2026,0.98
VCT,2026,0.99
VEN,2026,0.95
VNM,2026,0.96
VUT,2026,0.82
WSM,2026,0.96
YEM,2026,0.68
ZAF,2026,0.85
ZMB,2026,0.95
ZWE,2026,0.87
AFG,2027,0.66
AGO,2027,0.53
ALB,2027,0.96
ARG,2027,0.89
ARM,2027,0.96
AZE,2027,0.98
BDI,2027,0.95
BEN,2027,0.7
BFA,2027,0.91
BGD,2027,0.97
BGR,2027,0.96
BIH,2027,0.7
BLR,2027,0.98
BLZ,2027,0.96
BOL,2027,0.81
BRA,2027,0.94
BTN,2027,0.97
BWA,2027,0.97
CAF,2027,0.42
CHN,2027,0.99
CIV,2027,0.75
CMR,2027,0.62
COD,2027,0.67
COG,2027,0.75
COL,2027,0.96
COM,2027,0.93
CPV,2027,0.98
CRI,2027,0.96
CUB,2027,0.99
DJI,2027,0.86
DMA,2027,0.95
DOM,2027,0.96
DZA,2027,0.82
ECU,2027,0.86
EGY,2027,0.96
ERI,2027,0.96
ETH,2027,0.6
FJI,2027,0.96
FSM,2027,0.8
GAB,2027,0.64
GEO,2027,0.99
GHA,2027,0.95
GIN,2027,0.48
GMB,2027,0.88
GNB,2027,0.81
GNQ,2027,0.55
GRD,2027,0.96
GTM,2027,0.93
GUY,2027,0.98
HND,2027,0.92
HTI,2027,0.67
IDN,2027,0.91
IND,2027,0.96
IRN,2027,0.99
IRQ,2027,0.84
JAM,2027,0.96
JOR,2027,0.9
KAZ,2027,0.99
KEN,2027,0.92
KGZ,2027,0.96
KHM,2027,0.87
KIR,2027,0.96
LAO,2027,0.86
LBN,2027,0.84
LBR,2027,0.7
LBY,2027,0.75
LCA,2027,0.96
LKA,2027,0.99
LSO,2027,0.93
MAR,2027,0.99
MDA,2027,0.97
MDG,2027,0.57
MDV,2027,0.99
MEX,2027,0.75
MHL,2027,0.88
MKD,2027,0.77
MLI,2027,0.72
MMR,2027,0.87
MNE,2027,0.34
MNG,2027,0.98
MOZ,2027,0.9
MRT,2027,0.77
MWI,2027,0.95
MYS,2027,0.97
NAM,2027,0.82
NER,2027,0.81
NGA,2027,0.59
NIC,2027,0.99
NPL,2027,0.95
PAK,2027,0.83
PER,2027,0.88
PHL,2027,0.77
PNG,2027,0.38
PRK,2027,0.98
PRY,2027,0.9
PSE,2027,0.99
RUS,2027,0.98
RWA,2027,0.96
SDN,2027,0.93
SEN,2027,0.92
SLB,2027,0.83
SLE,2027,0.96
SLV,2027,0.84
SOM,2027,0.47
SRB,2027,0.9
SSD,2027,0.5
STP,2027,0.96
SUR,2027,0.66
SWZ,2027,0.83
SYR,2027,0.67
TCD,2027,0.42
TGO,2027,0.77
THA,2027,0.96
TJK,2027,0.98
TKM,2027,0.99
TLS,2027,0.88
TON,2027,0.99
TUN,2027,0.98
TUR,2027,0.97
TUV,2027,0.96
TZA,2027,0.91
UGA,2027,0.9
UKR,2027,0.96
UZB,2027,0.98
VCT,2027,0.99
VEN,2027,0.96
VNM,2027,0.96
VUT,2027,0.82
WSM,2027,0.96
YEM,2027,0.69
ZAF,2027,0.86
ZMB,2027,0.96
ZWE,2027,0.88
AFG,2028,0.67
AGO,2028,0.53
ALB,2028,0.96
ARG,2028,0.89
ARM,2028,0.96
AZE,2028,0.98
BDI,2028,0.96
BEN,2028,0.71
BFA,2028,0.92
BGD,2028,0.97
BGR,2028,0.96
BIH,2028,0.71
BLR,2028,0.98
BLZ,2028,0.96
BOL,2028,0.82
BRA,2028,0.95
BTN,2028,0.97
BWA,2028,0.97
CAF,2028,0.43
CHN,2028,0.99
CIV,2028,0.76
CMR,2028,0.62
COD,2028,0.68
COG,2028,0.76
COL,2028,0.96
COM,2028,0.94
CPV,2028,0.98
CRI,2028,0.96
CUB,2028,0.99
DJI,2028,0.86
DMA,2028,0.96
DOM,2028,0.96
DZA,2028,0.83
ECU,2028,0.86
EGY,2028,0.96
ERI,2028,0.96
ETH,2028,0.6
FJI,2028,0.96
FSM,2028,0.81
GAB,2028,0.65
GEO,2028,0.99
GHA,2028,0.96
GIN,2028,0.49
GMB,2028,0.88
GNB,2028,0.82
GNQ,2028,0.55
GRD,2028,0.96
GTM,2028,0.94
GUY,2028,0.98
HND,2028,0.93
HTI,2028,0.68
IDN,2028,0.92
IND,2028,0.96
IRN,2028,0.99
IRQ,2028,0.85
JAM,2028,0.96
JOR,2028,0.91
KAZ,2028,0.99
KEN,2028,0.93
KGZ,2028,0.96
KHM,2028,0.87
KIR,2028,0.96
LAO,2028,0.86
LBN,2028,0.85
LBR,2028,0.71
LBY,2028,0.76
LCA,2028,0.96
LKA,2028,0.99
LSO,2028,0.94
MAR,2028,0.99
MDA,2028,0.97
MDG,2028,0.57
MDV,2028,0.99
MEX,2028,0.76
MHL,2028,0.88
MKD,2028,0.78
MLI,2028,0.73
MMR,2028,0.87
MNE,2028,0.34
MNG,2028,0.98
MOZ,2028,0.91
MRT,2028,0.78
MWI,2028,0.96
MYS,2028,0.97
NAM,2028,0.83
NER,2028,0.82
NGA,2028,0.59
NIC,2028,0.99
NPL,2028,0.96
PAK,2028,0.84
PER,2028,0.88
PHL,2028,0.78
PNG,2028,0.39
PRK,2028,0.98
PRY,2028,0.91
PSE,2028,0.99
RUS,2028,0.98
RWA,2028,0.96
SDN,2028,0.94
